"area","station_no","station_type","station_name","address","elevation","observation_begin","note1","note2","katakana","prec_no","block_no","pref_code","lon","lat"
"上川",12041,"四","音威子府","中川郡音威子府村音威子府",40,"昭52.10.17","12905",,"オトイネップ","12","1197","01",142.265,44.7266666666667
"上川",12066,"雨","小車","中川郡美深町小車",60,"平17.11.9",,,"オグルマ","12","1570","01",142.295,44.6083333333333
"上川",12141,"四","美深","中川郡美深町西町",77,"#昭52.10.6","12900","湿度を除く","ビフカ","12","0006","01",142.341666666667,44.48
"上川",12181,"四","名寄","名寄市大橋",89,"#昭51.4.1","12910",,"ナヨロ","12","0008","01",142.456666666667,44.37
"上川",12217,"雨","西風連","名寄市風連町西風連",128,"平17.11.8",,,"ニシフウレン","12","0009","01",142.358333333333,44.295
"上川",12231,"四","下川","上川郡下川町南町",143,"#昭52.10.14","12925","湿度を除く","シモカワ","12","0010","01",142.636666666667,44.295
"上川",12256,"雨","剣淵","上川郡剣淵町旭町",138,"平17.11.10",,,"ケンブチ","12","1572","01",142.353333333333,44.1066666666667
"上川",12261,"四","士別","士別市武徳町",135,"#昭52.10.13",,"湿度を除く","シベツ","12","0011","01",142.416666666667,44.1866666666667
"上川",12266,"四","朝日","士別市朝日町中央",225,"昭52.10.13",,"湿度を除く","アサヒ","12","1047","01",142.595,44.1183333333333
"上川",12301,"四","和寒","上川郡和寒町日ノ出",150,"昭52.10.12","12915","湿度を除く","ワッサム","12","1055","01",142.41,44.0283333333333
"上川",12386,"四","江丹別","旭川市江丹別町芳野",140,"昭52.10.11",,"湿度を除く","エタンベツ","12","1191","01",142.26,43.87
"上川",12396,"四","比布","上川郡比布町北2線",164,"(昭50.5.27)昭52.10.11",,,"ピップ","12","1048","01",142.47,43.87
"上川",12411,"四","上川","上川郡上川町栄町",324,"#昭52.10.12","12920","湿度を除く","カミカワ","12","0015","01",142.753333333333,43.8466666666667
"上川",12442,"官","旭川","旭川市宮前1条　旭川地方気象台",120,"平16.9.9","12927",,"アサヒカワ","12","47407","01",142.371666666667,43.7566666666667
"上川",12451,"四","東川","上川郡東川町北町",215,"昭52.10.5",,,"ヒガシカワ","12","1184","01",142.508333333333,43.7016666666667
"上川",12457,"雨","瑞穂","旭川市東旭川町瑞穂",289,"昭59.10.8",,,"ミズホ","12","0017","01",142.638333333333,43.7366666666667
"上川",12471,"雨","層雲峡","上川郡上川町層雲峡高山",540,"昭50.5.27","12930",,"ソウウンキョウ","12","1049","01",142.93,43.7533333333333
"上川",12501,"官","東神楽","上川郡東神楽町東2線　旭川航空気象観測所",211,"平15.1.1","12932","日照・湿度・気圧を除く","ヒガシカグラ","12","1458","01",142.446666666667,43.67
"上川",12512,"四","志比内","上川郡東神楽町志比内",310,"平4.10.9",,"湿度を除く","シビナイ","12","1185","01",142.581666666667,43.6433333333333
"上川",12551,"四","美瑛","上川郡美瑛町原野5線",250,"(昭50.5.28)昭52.10.6","12935",,"ビエイ","12","1052","01",142.493333333333,43.5883333333333
"上川",12596,"四","上富良野","空知郡上富良野町大町",220,"昭52.10.8",,"湿度を除く","カミフラノ","12","1190","01",142.465,43.455
"上川",12607,"雨","白金","上川郡美瑛町白金",658,"昭59.10.8",,,"シロガネ","12","0020","01",142.65,43.475
"上川",12626,"四","富良野","富良野市東町",174,"#昭51.4.1","12940",,"フラノ","12","0021","01",142.4,43.3333333333333
"上川",12632,"四","麓郷","富良野市麓郷市街地",315,"昭53.10.25",,,"ロクゴウ","12","1280","01",142.521666666667,43.3016666666667
"上川",12686,"雨","金山","空知郡南富良野町金山地先",284,"平17.11.17",,,"カナヤマ","12","1574","01",142.416666666667,43.1383333333333
"上川",12691,"四","幾寅","空知郡南富良野町幾寅",350,"昭52.10.7","12945",,"イクトラ","12","1188","01",142.568333333333,43.1683333333333
"上川",12746,"四","占冠","勇払郡占冠村中央",332,"昭52.10.7","12950","湿度を除く","シムカップ","12","1189","01",142.395,42.9783333333333
"上川",15041,"四","朱鞠内","雨竜郡幌加内町朱鞠内",255,"昭53.10.24","15900",,"シュマリナイ","12","1279","01",142.161666666667,44.2816666666667
"上川",15076,"四","幌加内","雨竜郡幌加内町幌加内",159,"(昭50.5.28)昭52.10.28","15905","湿度を除く","ホロカナイ","12","1053","01",142.16,44.01
"留萌",13061,"四","天塩","天塩郡天塩町川口",9,"#昭52.10.26","13900",,"テシオ","13","0024","01",141.761666666667,44.8933333333333
"留萌",13086,"四","遠別","天塩郡遠別町幸和",7,"#昭52.10.26",,"湿度を除く","エンベツ","13","0025","01",141.806666666667,44.7183333333333
"留萌",13121,"四","初山別","苫前郡初山別村初山別",27,"昭52.10.28","13905",,"ショサンベツ","13","1216","01",141.77,44.5233333333333
"留萌",13146,"四","焼尻","苫前郡羽幌町焼尻白浜",38,"昭52.10.27",,,"ヤギシリ","13","1213","01",141.421666666667,44.4283333333333
"留萌",13181,"官","羽幌","苫前郡羽幌町南3条　羽幌特別地域気象観測所",8,"#昭51.1.1","13907",,"ハボロ","13","47404","01",141.7,44.3633333333333
"留萌",13206,"雨","古丹別","苫前郡苫前町古丹別",15,"昭51.8.4","13910",,"コタンベツ","13","1112","01",141.721666666667,44.265
"留萌",13261,"四","達布","留萌郡小平町達布",30,"昭52.10.31",,"湿度を除く","タップ","13","1217","01",141.856666666667,44.0483333333333
"留萌",13277,"官","留萌","留萌市大町　留萌特別地域気象観測所",24,"昭55.6.21","13915",,"ルモイ","13","47406","01",141.631666666667,43.945
"留萌",13311,"四","増毛","増毛郡増毛町別苅",20,"#昭53.10.24",,,"マシケ","13","0028","01",141.51,43.8483333333333
"留萌",13321,"四","幌糠","留萌市幌糠町",20,"昭52.10.31","13920","湿度を除く","ホロヌカ","13","1218","01",141.76,43.8533333333333
"石狩",14026,"四","浜益","石狩市浜益区川下",3,"昭52.10.12",,,"ハママス","14","1193","01",141.386666666667,43.5816666666667
"石狩",14071,"四","厚田","石狩市厚田区別狩",5,"昭52.10.12","14900","湿度を除く","アツタ","14","1194","01",141.436666666667,43.3966666666667
"石狩",14101,"四","新篠津","石狩郡新篠津村第46線北",9,"#昭53.10.23","14910","湿度を除く","シンシノツ","14","0030","01",141.645,43.22
"石狩",14116,"四","山口","札幌市手稲区手稲山口",5,"#昭52.10.11",,,"ヤマグチ","14","0031","01",141.221666666667,43.1483333333333
"石狩",14121,"四","石狩","石狩市生振",5,"平2.3.6","14905",,"イシカリ","14","1085","01",141.37,43.1933333333333
"石狩",14136,"四","江別","江別市江別太",8,"平12.10.31",,"湿度を除く","エベツ","14","1507","01",141.601666666667,43.11
"石狩",14157,"雨","手稲山","札幌市手稲区手稲金山",568,"平22.3.24",,,"テイネヤマ","14","0032","01",141.201666666667,43.0833333333333
"石狩",14163,"官","札幌","札幌市中央区北2条西　札幌管区気象台",17,"平13.9.26","14913","気温、雨、日照","サッポロ","14","47412","01",141.328333333333,43.06
"石狩",14163,"官","札幌","札幌市中央区北2条西",17,"平13.9.26",,"風","サッポロ","14","47412","01",141.326666666667,43.06
"石狩",14191,"雨","小金湯","札幌市南区小金湯",230,"#","14915",,"コガネユ","14","0034","01",141.216666666667,42.9633333333333
"石狩",14206,"四","恵庭島松","恵庭市下島松",30,"#昭52.10.13","14920",,"エニワシママツ","14","0035","01",141.565,42.9266666666667
"石狩",14286,"四","支笏湖畔","千歳市支笏湖温泉番外地",290,"#昭52.10.14",,,"シコツコハン","14","0037","01",141.406666666667,42.7716666666667
"石狩",14296,"官","千歳","千歳市美々　新千歳航空測候所",22,"平15.1.1","14923","日照・湿度・気圧を除く","チトセ","14","1459","01",141.691666666667,42.775
"空知",15116,"四","石狩沼田","雨竜郡沼田町緑町",63,"#昭51.4.1","15935",,"イシカリヌマタ","15","0038","01",141.926666666667,43.815
"空知",15156,"四","秩父別","雨竜郡秩父別町５条",51,"令4.10.31","15940",,"チップベツ","15","1674","01",141.961666666667,43.78
"空知",15161,"四","深川","深川市一已町一已",55,"#昭52.10.7","15910","湿度を除く","フカガワ","15","0039","01",142.073333333333,43.7183333333333
"空知",15197,"雨","雨竜","雨竜郡雨竜町満寿",42,"平17.11.1",,,"ウリュウ","15","1567","01",141.891666666667,43.66
"空知",15216,"雨","新城","芦別市新城",147,"昭59.10.5",,,"シンジョウ","15","1419","01",142.203333333333,43.6116666666667
"空知",15231,"四","空知吉野","樺戸郡新十津川町吉野",100,"昭53.11.2",,,"ソラチヨシノ","15","1287","01",141.731666666667,43.595
"空知",15241,"四","滝川","滝川市南滝の川",50,"#昭51.4.1","15930",,"タキカワ","15","0041","01",141.938333333333,43.57
"空知",15247,"雨","赤平","赤平市東豊里町",120,"平17.10.31",,,"アカビラ","15","1566","01",142.066666666667,43.5533333333333
"空知",15251,"四","芦別","芦別市北2条東",91,"#昭53.10.25","15915","湿度を除く","アシベツ","15","0043","01",142.19,43.52
"空知",15276,"雨","浦臼","樺戸郡浦臼町浦臼内",25,"昭58.8.2",,,"ウラウス","15","1400","01",141.808333333333,43.4283333333333
"空知",15311,"四","月形","樺戸郡月形町知来乙",50,"(昭50.5.16)昭52.10.6",,"湿度を除く","ツキガタ","15","0999","01",141.616666666667,43.33
"空知",15321,"四","美唄","美唄市北美唄町二区",16,"#昭52.10.5","15920","湿度を除く","ビバイ","15","0044","01",141.826666666667,43.3633333333333
"空知",15356,"官","岩見沢","岩見沢市5条東　岩見沢特別地域気象観測所",42,"#昭50.4.3","15923",,"イワミザワ","15","47413","01",141.785,43.2116666666667
"空知",15391,"雨","栗沢","岩見沢市栗沢町東本町",20,"昭50.6.7",,,"クリサワ","15","1068","01",141.745,43.1216666666667
"空知",15431,"四","長沼","夕張郡長沼町本町北",13,"#昭52.10.5",,,"ナガヌマ","15","0047","01",141.693333333333,43.0116666666667
"空知",15442,"四","夕張","夕張市鹿の谷山手町",293,"#昭51.4.1","15925",,"ユウバリ","15","0049","01",141.956666666667,43.0383333333333
"空知",15451,"雨","鹿島","夕張市鹿島富士見町",310,"昭58.8.2",,,"カシマ","15","1401","01",142.1,43.08
"空知",15491,"雨","沼の沢","夕張市沼ノ沢",161,"昭58.8.2",,,"ヌマノサワ","15","1402","01",142.02,42.96
"後志",16026,"四","美国","積丹郡積丹町美国町船澗",75,"#昭52.10.25",,,"ビクニ","16","0051","01",140.563333333333,43.2716666666667
"後志",16061,"四","神恵内","古宇郡神恵内村神恵内村",50,"昭52.10.24",,,"カモエナイ","16","1208","01",140.423333333333,43.145
"後志",16076,"四","余市","余市郡余市町豊丘町",20,"#昭52.10.31","16905",,"ヨイチ","16","0052","01",140.758333333333,43.1816666666667
"後志",16091,"官","小樽","小樽市勝納町　小樽特別地域気象観測所",25,"#昭50.12.23","16903",,"オタル","16","47411","01",141.015,43.1816666666667
"後志",16126,"雨","赤井川","余市郡赤井川村赤井川",148,"昭51.5.12","16900",,"アカイガワ","16","1091","01",140.82,43.0833333333333
"後志",16156,"四","共和","岩内郡共和町南幌似",15,"#昭52.10.24","16910",,"キョウワ","16","0054","01",140.603333333333,42.98
"後志",16206,"四","蘭越","磯谷郡蘭越町蘭越",39,"#昭52.10.20","16915","湿度を除く","ランコシ","16","0055","01",140.541666666667,42.81
"後志",16217,"官","倶知安","虻田郡倶知安町南1条東　倶知安特別地域気象観測所",176,"平3.8.28","16917",,"クッチャン","16","47433","01",140.756666666667,42.9
"後志",16252,"官","寿都","寿都郡寿都町新栄町　寿都特別地域気象観測所",33,"平元.9.22","16918",,"スッツ","16","47421","01",140.223333333333,42.795
"後志",16272,"雨","ニセコ","虻田郡ニセコ町宮田",113,"平22.3.11",,,"ニセコ","16","1615","01",140.666666666667,42.7783333333333
"後志",16281,"四","真狩","虻田郡真狩村美原",440,"(昭50.7.1)昭53.10.27",,"湿度を除く","マッカリ","16","1072","01",140.88,42.775
"後志",16286,"四","喜茂別","虻田郡喜茂別町伏見",264,"#昭52.10.21","16920","湿度を除く","キモベツ","16","0060","01",140.948333333333,42.7933333333333
"後志",16321,"四","黒松内","寿都郡黒松内町黒松内",27,"#昭52.10.20","16925","湿度を除く","クロマツナイ","16","0061","01",140.31,42.6633333333333
"網走・北見・紋別",17036,"官","雄武","紋別郡雄武町雄武　雄武特別地域気象観測所",14,"#昭50.12.1","17903",,"オウム","17","47405","01",142.963333333333,44.58
"網走・北見・紋別",17076,"四","興部","紋別郡興部町興部",8,"#昭52.10.28",,,"オコッペ","17","0063","01",143.108333333333,44.47
"網走・北見・紋別",17091,"四","西興部","紋別郡西興部村西興部",120,"(昭50.7.1)昭52.10.28","17900","湿度を除く","ニシオコッペ","17","1073","01",142.935,44.3316666666667
"網走・北見・紋別",17112,"官","紋別","紋別市南が丘町　紋別特別地域気象観測所",16,"昭58.1.1","17904",,"モンベツ","17","47435","01",143.355,44.345
"網走・北見・紋別",17116,"官","紋別小向","紋別市小向　紋別航空気象観測所",18,"平15.1.1","17960","日照・湿度・気圧を除く","モンベツコムカイ","17","1487","01",143.403333333333,44.3033333333333
"網走・北見・紋別",17166,"四","湧別","紋別郡湧別町東",5,"#昭52.10.26",,"湿度を除く","ユウベツ","17","0065","01",143.618333333333,44.2133333333333
"網走・北見・紋別",17196,"四","滝上","紋別郡滝上町滝ノ上原野5線南",165,"#昭52.10.27","17905","湿度を除く","タキノウエ","17","0066","01",143.061666666667,44.1766666666667
"網走・北見・紋別",17211,"雨","上藻別","紋別市上藻別",94,"#",,,"カミモベツ","17","0067","01",143.335,44.1866666666667
"網走・北見・紋別",17246,"四","常呂","北見市常呂町岐阜",3,"#昭52.10.21",,,"トコロ","17","0068","01",144.036666666667,44.115
"網走・北見・紋別",17306,"四","遠軽","紋別郡遠軽町東町",80,"#昭52.10.24","17910",,"エンガル","17","0069","01",143.54,44.0533333333333
"網走・北見・紋別",17316,"四","佐呂間","常呂郡佐呂間町西富",54,"#昭52.10.21","17915","湿度を除く","サロマ","17","0070","01",143.76,44.0183333333333
"網走・北見・紋別",17341,"官","網走","網走市台町　網走地方気象台",38,"#昭50.4.1","17917",,"アバシリ","17","47409","01",144.278333333333,44.0166666666667
"網走・北見・紋別",17351,"四","宇登呂","斜里郡斜里町ウトロ高原",144,"(昭50.5.12)昭53.10.26","17935","湿度を除く","ウトロ","17","0981","01",144.981666666667,44.0516666666667
"網走・北見・紋別",17386,"雨","丸瀬布","紋別郡遠軽町丸瀬布武利",242,"昭59.10.5",,,"マルセップ","17","1420","01",143.328333333333,43.9516666666667
"網走・北見・紋別",17482,"四","白滝","紋別郡遠軽町白滝北支湧別",475,"(昭50.9.25)平5.1.27","17955","湿度を除く","シラタキ","17","1092","01",143.153333333333,43.865
"網走・北見・紋別",17501,"四","生田原","紋別郡遠軽町生田原",199,"#昭52.10.25",,,"イクタハラ","17","0072","01",143.531666666667,43.9166666666667
"網走・北見・紋別",17512,"雨","仁頃山","北見市富里",261,"平17.11.2",,,"ニコロヤマ","17","0073","01",143.746666666667,43.86
"網走・北見・紋別",17521,"四","北見","北見市広郷",104,"#昭51.4.1","17925",,"キタミ","17","0074","01",143.841666666667,43.7766666666667
"網走・北見・紋別",17531,"官","女満別","網走郡大空町女満別中央　女満別航空気象観測所",33,"平15.1.1","17965","日照・湿度・気圧を除く","メマンベツ","17","1460","01",144.163333333333,43.88
"網走・北見・紋別",17541,"雨","東藻琴","網走郡大空町東藻琴",58,"昭53.7.11",,,"ヒガシモコト","17","1263","01",144.285,43.84
"網走・北見・紋別",17546,"四","小清水","斜里郡小清水町泉",52,"#昭52.10.19",,,"コシミズ","17","0075","01",144.485,43.8416666666667
"網走・北見・紋別",17561,"四","斜里","斜里郡斜里町以久科南",15,"#昭52.10.19","17940","湿度を除く","シャリ","17","0076","01",144.7,43.885
"網走・北見・紋別",17596,"四","留辺蘂","北見市留辺蘂町大和",325,"#昭53.11.1","17930",,"ルベシベ","17","0077","01",143.45,43.7416666666667
"網走・北見・紋別",17607,"四","境野","常呂郡置戸町豊住",184,"昭52.10.25",,,"サカイノ","17","1209","01",143.643333333333,43.7066666666667
"網走・北見・紋別",17631,"四","美幌","網走郡美幌町福住",60,"#昭52.10.20",,,"ビホロ","17","0079","01",144.171666666667,43.77
"網走・北見・紋別",17642,"雨","山園","網走郡大空町東藻琴山園",361,"平22.3.18",,,"ヤマゾノ","17","1617","01",144.336666666667,43.7433333333333
"網走・北見・紋別",17686,"雨","置戸常元","常呂郡置戸町常元",368,"平17.11.8",,,"オケトツネモト","17","1569","01",143.44,43.62
"網走・北見・紋別",17717,"四","津別","網走郡津別町豊永",100,"昭63.10.4","17950","湿度を除く","ツベツ","17","0082","01",144.033333333333,43.7016666666667
"網走・北見・紋別",17776,"雨","津別二又","網走郡津別町二又",210,"平17.11.4",,,"ツベツフタマタ","17","1568","01",143.865,43.5833333333333
"根室",18038,"四","羅臼","目梨郡羅臼町栄町",15,"平17.11.1","18925",,"ラウス","18","0084","01",145.186666666667,44.0233333333333
"根室",18091,"雨","糸櫛別","標津郡標津町川北糸櫛別",115,"昭53.7.28",,,"イトクシベツ","18","1266","01",144.988333333333,43.7216666666667
"根室",18136,"四","標津","標津郡標津町北2条西",3,"#昭52.10.18",,,"シベツ","18","0085","01",145.131666666667,43.6616666666667
"根室",18161,"四","上標津","標津郡中標津町上標津",160,"平15.10.16",,"湿度を除く","カミシベツ","18","1547","01",144.746666666667,43.52
"根室",18171,"四","中標津","標津郡中標津町桜ヶ丘",50,"#昭52.10.18","18910",,"ナカシベツ","18","0086","01",144.978333333333,43.5433333333333
"根室",18174,"官","根室中標津","標津郡中標津町北中　中標津航空気象観測所",65,"平15.1.1","18930","日照・湿度・気圧を除く","ネムロナカシベツ","18","1489","01",144.96,43.5766666666667
"根室",18256,"四","別海","野付郡別海町川上町",23,"#昭52.10.14","18915",,"ベツカイ","18","0088","01",145.118333333333,43.3816666666667
"根室",18273,"官","根室","根室市弥栄町　根室特別地域気象観測所",25,"平5.8.26","18917",,"ネムロ","18","47420","01",145.585,43.33
"根室",18281,"四","納沙布","根室市温根元",12,"(昭50.5.29)昭52.10.13",,,"ノサップ","18","1056","01",145.758333333333,43.3933333333333
"根室",18311,"四","厚床","根室市西厚床",41,"昭52.10.14","18920",,"アットコ","18","1196","01",145.226666666667,43.2216666666667
"釧路",19021,"四","川湯","川上郡弟子屈町川湯駅前",158,"#昭52.10.6","19900",,"カワユ","19","0090","01",144.456666666667,43.6166666666667
"釧路",19051,"四","弟子屈","川上郡弟子屈町弟子屈原野",170,"昭52.10.6",,,"テシカガ","19","0092","01",144.466666666667,43.51
"釧路",19051,"四","弟子屈","川上郡弟子屈町弟子屈原野",170,"昭52.10.6",,,"テシカガ","19","1187","01",144.466666666667,43.51
"釧路",19076,"四","阿寒湖畔","釧路市阿寒町阿寒湖温泉",426,"#昭52.10.7","19910","湿度を除く","アカンコハン","19","0091","01",144.083333333333,43.4366666666667
"釧路",19151,"四","標茶","川上郡標茶町開運",20,"#昭52.10.11","19915",,"シベチャ","19","0093","01",144.586666666667,43.2916666666667
"釧路",19191,"四","鶴居","阿寒郡鶴居村鶴居東",38,"昭52.10.5","19920","湿度を除く","ツルイ","19","1186","01",144.325,43.2316666666667
"釧路",19261,"四","中徹別","釧路市阿寒町徹別中央34線",80,"#昭52.10.7","19925","湿度を除く","ナカテシベツ","19","0095","01",144.141666666667,43.1983333333333
"釧路",19281,"雨","塘路","川上郡標茶町塘路",25,"昭58.8.2",,,"トウロ","19","1403","01",144.496666666667,43.1483333333333
"釧路",19301,"雨","茶内原野","厚岸郡浜中町茶内西13線",70,"昭59.10.1",,,"チャナイゲンヤ","19","1417","01",144.966666666667,43.1733333333333
"釧路",19311,"四","榊町","厚岸郡浜中町榊町",2,"昭52.10.12",,,"サカキマチ","19","1195","01",145.11,43.12
"釧路",19346,"雨","阿寒","釧路市阿寒町中央",40,"#",,,"アカン","19","0096","01",144.123333333333,43.1133333333333
"釧路",19347,"官","鶴丘","釧路市鶴丘　釧路航空気象観測所",95,"平15.1.1","19935","日照・湿度・気圧を除く","ツルオカ","19","1461","01",144.191666666667,43.04
"釧路",19376,"四","太田","厚岸郡厚岸町太田",85,"昭52.10.11","19930",,"オオタ","19","1192","01",144.778333333333,43.09
"釧路",19406,"雨","二俣","釧路市音別町音別原野基線",45,"昭51.6.29",,,"フタマタ","19","1107","01",143.875,42.9716666666667
"釧路",19416,"四","白糠","白糠郡白糠町西2条北",9,"#昭52.10.5","19940",,"シラヌカ","19","0098","01",144.061666666667,42.97
"釧路",19432,"官","釧路","釧路市幸町　釧路地方気象台",5,"平12.10.5","19950",,"クシロ","19","47418","01",144.376666666667,42.985
"釧路",19451,"四","知方学","釧路郡釧路町仙鳳趾村知方学",149,"昭53.10.27",,,"チッポマナイ","19","1283","01",144.735,42.9383333333333
"十勝",20047,"雨","三股","河東郡上士幌町三股",660,"平17.11.9",,,"ミツマタ","20","1571","01",143.148333333333,43.51
"十勝",20071,"雨","小利別","足寄郡陸別町小利別本通東1条",313,"昭58.8.2",,,"ショウトシベツ","20","1404","01",143.68,43.5883333333333
"十勝",20146,"四","陸別","足寄郡陸別町陸別原野基線",210,"#昭52.10.21","20900",,"リクベツ","20","0101","01",143.753333333333,43.4716666666667
"十勝",20186,"四","ぬかびら源泉郷","河東郡上士幌町ぬかびら源泉郷北区",540,"昭51.4.1","20910",,"ヌカビラゲンセンキョウ","20","0103","01",143.191666666667,43.3666666666667
"十勝",20202,"雨","柏倉","足寄郡足寄町茂喜登牛",378,"昭58.8.2",,,"カシワクラ","20","1409","01",143.458333333333,43.3616666666667
"十勝",20222,"雨","上螺湾","足寄郡足寄町上螺湾",232,"昭58.10.5",,,"カミラワン","20","1410","01",143.801666666667,43.3183333333333
"十勝",20266,"四","上士幌","河東郡上士幌町東3線",287,"#昭52.10.20","20920",,"カミシホロ","20","0107","01",143.295,43.2416666666667
"十勝",20276,"四","足寄","足寄郡足寄町南1条",90,"#昭52.10.21",,"湿度を除く","アショロ","20","0109","01",143.553333333333,43.2433333333333
"十勝",20331,"雨","押帯","中川郡本別町押帯",104,"昭58.8.2",,,"オショップ","20","1405","01",143.443333333333,43.115
"十勝",20341,"四","本別","中川郡本別町新町",67,"#昭51.3.10","20935",,"ホンベツ","20","0112","01",143.6,43.1316666666667
"十勝",20356,"四","新得","上川郡新得町4条南",178,"#昭52.10.24","20930",,"シントク","20","0113","01",142.84,43.0766666666667
"十勝",20361,"四","鹿追","河東郡鹿追町緑町",206,"#昭53.10.30",,"湿度を除く","シカオイ","20","0114","01",142.995,43.1033333333333
"十勝",20371,"四","駒場","河東郡音更町駒場北町",112,"昭52.10.20",,"湿度を除く","コマバ","20","1204","01",143.183333333333,43.05
"十勝",20421,"四","芽室","河西郡芽室町西3条南",90,"#昭52.10.24","20940","湿度を除く","メムロ","20","0115","01",143.043333333333,42.9
"十勝",20432,"官","帯広","帯広市東4条南　帯広測候所",38,"平10.1.28","20943","気温、雨","オビヒロ","20","47417","01",143.211666666667,42.9216666666667
"十勝",20432,"官","帯広","帯広市東9条南",45,"平10.1.28",,"風、日照","オビヒロ","20","47417","01",143.223333333333,42.9083333333333
"十勝",20441,"四","池田","中川郡池田町清見",42,"#昭52.10.26",,"湿度を除く","イケダ","20","0117","01",143.458333333333,42.92
"十勝",20451,"雨","留真","十勝郡浦幌町留真",40,"昭59.10.1",,,"ルシン","20","1418","01",143.661666666667,42.9166666666667
"十勝",20506,"四","浦幌","十勝郡浦幌町桜町",20,"#昭52.10.27","20945",,"ウラホロ","20","0118","01",143.656666666667,42.8083333333333
"十勝",20551,"官","帯広泉","帯広市泉町西9線中　帯広航空気象観測所",149,"平15.1.1","20955","日照・湿度・気圧を除く","オビヒロイズミ","20","1510","01",143.216666666667,42.7333333333333
"十勝",20556,"四","糠内","中川郡幕別町五位",70,"昭53.10.30",,"湿度を除く","ヌカナイ","20","1286","01",143.328333333333,42.7866666666667
"十勝",20601,"四","上札内","河西郡中札内村元札内西1線",251,"昭52.10.25","20950",,"カミサツナイ","20","1210","01",143.096666666667,42.6416666666667
"十勝",20606,"四","更別","河西郡更別村更別南2線",185,"昭52.10.25",,"湿度を除く","サラベツ","20","1211","01",143.195,42.6516666666667
"十勝",20631,"四","大津","中川郡豊頃町大津寿町",4,"昭52.10.27",,"湿度を除く","オオツ","20","1214","01",143.646666666667,42.6866666666667
"十勝",20696,"四","大樹","広尾郡大樹町柏木町",87,"#昭52.10.26","20960",,"タイキ","20","0121","01",143.273333333333,42.5
"十勝",20751,"官","広尾","広尾郡広尾町並木通東　広尾特別地域気象観測所",32,"#昭50.12.19","20965",,"ヒロオ","20","47440","01",143.316666666667,42.2933333333333
"胆振",21031,"雨","安平","勇払郡安平町安平",33,"#","21900",,"アビラ","21","0123","01",141.828333333333,42.815
"胆振",21111,"四","厚真","勇払郡厚真町朝日",20,"#昭52.10.5",,"湿度を除く","アツマ","21","0124","01",141.888333333333,42.73
"胆振",21126,"四","穂別","勇払郡むかわ町穂別",56,"#昭52.10.5","21905",,"ホベツ","21","0125","01",142.143333333333,42.7616666666667
"胆振",21161,"四","大滝","伊達市大滝区本町",390,"(昭50.6.3)昭52.10.7","21910",,"オオタキ","21","1067","01",141.078333333333,42.67
"胆振",21171,"四","森野","白老郡白老町森野",170,"#昭52.10.27",,,"モリノ","21","0126","01",141.246666666667,42.63
